JobTitle,job_role,Company,City,Column1,Province,remote?,Salary,Summary,experience?
Machine Learning Engineer,data scientist,Boast Capital,Montreal,, QC,NO,,"Fullstack development of AI features and applications in various areas of the Boast.
Identify appropriate models to be used and improve model accuracy for the…",no info
"Machine Learning Engineer (Canada, Remote)",data scientist,Diligen,Toronto,, ON,Remote,"$74,062 - $188,358 a year","Experience in machine learning techniques for reliable content extraction.
3+ years of professional or academic experience in machine learning.",experience required
Senior Machine Learning Engineer - InSight - OPS,data scientist,Iron Mountain,Remote,,Remote,Remote,,"The ML engineer works closely with multiple internal Iron Mountain teams to develop tech driven implementation solutions, create/enhance tools for performance…",no info
Jr. Machine Learning Engineer,data scientist,Niricson Software Inc.,Vancouver,, BC,NO,"$50,000 - $60,000 a year",2+ years of industry experience in ML modelling and engineering in applying deep learning in image or signal processing applications.,experience required
"Research Engineer, Vision",data engineer,Facebook,Montreal,, QC,NO,,"Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience building systems based on machine learning …",experience required
Intern – Data Engineer,data engineer,Rio Tinto,Montreal,, QC,NO,,"Data Science and Data Engineering roles have diverse, multi-industry backgrounds and comprehensive skills in the fields of data modelling, engineering, and…",no info
Deep Learning Engineer,data scientist,NETINT Technologies Inc.,Burnaby,, BC,NO,,"Working with hardware/firmware team to integrate deep learning models into current workflow.
Familiar with a deep learning framework such as TensorFlow, PyTorch…",no info
Machine Learning Engineer,data scientist,Bio Conscious Technologies Inc,Vancouver,, BC,NO,"$70,000 - $119,802 a year","Experience in supervised and/or unsupervised machine learning.
As a Machine Learning Engineer, you will build and maintain the algorithm for Diabits, our…",experience required
Machine Learning Engineer,data scientist,Aviva,Montreal,, QC,NO,,"3+ years of applied experience in ML, deep learning and NLP.
Have expert understanding of machine learning and NLP tasks such as classification, feature…",experience required
Machine Learning Engineer (Intermediate),data scientist,Mosaic,Canada,,Remote,Remote,,"Staying on top of the latest machine learning trends, bringing knowledge around new key research areas into algorithm development.",no info
Senior Machine Learning Engineer,data scientist,Workday,Vancouver,, BC,NO,,"Experience in machine learning frameworks & toolkits such as Tensorflow, Pytorch, Sklearn.
5+ yrs experience as part of a data science, machine learning, or…",experience required
Machine Learning Engineer,data scientist,Jumio Corporation,Montreal,, QC,NO,,"Develop machine learning solutions to integrate in our products.
Balance building technically advanced solutions and swiftly shipping.",no info
Process Control Engineer - Entry Level,data engineer,Weyerhaeuser,Princeton,, BC,NO,,"Knowledge of modern machine safeguarding standards. e.g.: ISO13857.
This will be accomplished through hands-on learning, troubleshooting, involvement in process…",no info
MACHINE LEARNING ENGINEER,data scientist,PNI Digital Media,Vancouver,, BC,NO,,"Navigate between traditional software development and machine learning implementations.
5+ years' experience focusing on data science, or machine learning.",experience required
Machine Learning Engineer,data scientist,Thoughtexchange,Canada,,Remote,Remote,,"Deep understanding on machine learning, deep learning and natural language processing.
Create proof of concept of machine learning products and services using…",no info
Process Control Engineer - Entry Level,data engineer,Weyerhaeuser,Princeton,, BC,NO,,"Knowledge of modern machine safeguarding standards. e.g.: ISO13857.
This will be accomplished through hands-on learning, troubleshooting, involvement in process…",no info
MACHINE LEARNING ENGINEER,data scientist,PNI Digital Media,Vancouver,, BC,NO,,"Navigate between traditional software development and machine learning implementations.
5+ years' experience focusing on data science, or machine learning.",experience required
Machine Learning Engineer,data scientist,Thoughtexchange,Canada,,Remote,Remote,,"Deep understanding on machine learning, deep learning and natural language processing.
Create proof of concept of machine learning products and services using…",no info
Research Engineer – Robotics,data engineer,FPInnovations,Pointe-Claire,, QC,NO,,"Hold a licensed professional engineer certification (P.Eng.);
Knowledge of software development and tools such as ROS, Python, Matlab, OpenCV, machine learning…",no info
Machine Learning Engineer,data scientist,Aspect Biosystems,Vancouver,, BC,NO,,"As our Machine Learning Engineer, you will be a critical participant in planning the strategic direction and implementation of ML technology within Aspect’s…",no info
Learning Experience Designer,data scientist,AbCellera Biologics,Vancouver,, BC,NO,,"Previous experience with a learning management system or learning experience system.
Partnering with our (awesome!) scientists and technologists to co-develop…",experience required
Software Engineer - Machine Learning (Remote),data scientist,Yelp,Vancouver,, BC,Remote,,"Experience with machine learning using packages such as xgboost, sklearn, TensorFlow, etc.
Yelp’s machine learning engineers turn raw data into valuable signals…",experience required
"Machine Learning Engineer, Biometrics",data scientist,Jumio Corporation,Montreal,, QC,NO,,"Develop machine learning solutions to integrate in our products.
Passion for learning new things and bringing in new ideas.",no info
Machine Learning Engineer,data scientist,Motion Metrics International Corp.,Vancouver,, BC,NO,,"3+ years of hands-on experience in developing and implementing and evaluating machine learning models/algorithms.
Proficiency in Python and version control.",experience required
Data Scientist/Machine Learning Engineer,data scientist,Staffinity Inc.,North York,, ON,NO,"$80,000 - $120,000 a year","We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",no info
Learning Experience Designer,data scientist,AbCellera,Vancouver,, BC,NO,,"Previous experience with a learning management system or learning experience system.
Partnering with our (awesome!) scientists and technologists to co-develop…",experience required
Data Engineer Intern- Global Markets (5 openings- 8 month placements),data engineer,HSBC,Vancouver,, BC,NO,,"Global Banking and Markets (GBM) provides financial services and products to corporates, governments and institutions worldwide, building partnerships with them…",no info
Intermediate Machine Learning Engineer,data scientist,TELUS,Vancouver,, BC,NO,,The Wireless Service Analytics & Transformation (WSAT) team’s goal is to enable best-in-class wireless experience by developing a customer centric view of…,experience required
"Machine Learning Engineer - Modeler, Risk",data scientist,Square,Toronto,, ON,NO,,"Such machine learning techniques touch on reinforcement learning, decision theory, deep learning sequence modeling, and optimization theory.",no info
"Software Engineer, Machine Learning Platform",data scientist,"Grammarly, Inc.",Vancouver,, BC,NO,,"As a Software Engineer on the Mac Desktop Extension team, you will build a new complex and multifaceted product offering, which will offer you opportunities for…",no info
Mechanical Engineer - Microscope Team,data engineer,Zaber Technologies,Vancouver,, BC,NO,,Working with our production engineers and technicians to develop assembly and alignment methods and procedures for microscopes.,no info
"Software Engineer, Machine Learning Platform",data scientist,"Grammarly, Inc.",Vancouver,, BC,NO,,"As a Software Engineer on the Mac Desktop Extension team, you will build a new complex and multifaceted product offering, which will offer you opportunities for…",no info
Protein Engineer – Structural Immunology,data engineer,AbCellera Biologics,Vancouver,, BC,NO,,"At AbCellera, we’re solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
"Machine Learning Intern (ML-Agents), AI@Unity",data scientist,Unity Technologies,Vancouver,, BC,NO,,Enabling Unity developers to train character behaviors using machine learning techniques such as deep reinforcement learning and imitation learning.,no info
Machine Learning Engineer,data scientist,IMRSV Data Labs,Ottawa,, ON,NO,,"Research and experimentation on different machine learning algorithms.
Support developing state of the art machine learning algorithms.",no info
Protein Engineer – Structural Immunology,data engineer,AbCellera,Vancouver,, BC,NO,,"At AbCellera, we're solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",no info
Research Engineer – Robotics,data engineer,FPInnovations,Pointe-Claire,, QC,NO,,"Hold a licensed professional engineer certification (P.Eng.);
Knowledge of software development and tools such as ROS, Python, Matlab, OpenCV, machine learning…",no info
Machine Learning Engineer,data scientist,Unbounce,Vancouver,, BC,NO,,"An understanding of the performance and accuracy tradeoffs in machine learning.
5 or more years of experience working with machine learning and data engineering…",experience required
Machine Learning Engineer (Intermediate),data scientist,Mosaic,Canada,,Remote,Remote,,"Staying on top of the latest machine learning trends, bringing knowledge around new key research areas into algorithm development.",no info
Applied Scientist (Remote),data scientist,Yelp,Vancouver,, BC,Remote,,"Experience with predictive modeling/machine learning, forecasting, or causal inference.
Applied scientists uncover these insights through exploratory research…",experience required
Data Engineer - Visualization,data engineer,Extreme Networks,Montreal,, QC,NO,,Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective.,no info
